      30,0.052002,0.017578,0.964111
      32,0.045898,0.015869,0.964844
      33,0.051758,0.012695,0.968994
      40,0.055664,0.007568,0.964111
      50,0.052734,0.010742,0.967041
      60,0.052734,0.012207,0.961914
      70,0.055664,0.013184,0.960693
      80,0.057617,0.013184,0.968506
      90,0.054443,0.015137,0.961182
     100,0.052490,0.011963,0.959473
     110,0.046631,0.015381,0.970947
     120,0.054443,0.014404,0.967285
     130,0.052002,0.011230,0.967041
     140,0.057617,0.011719,0.965576
     150,0.062012,0.014893,0.969482
     160,0.056396,0.013916,0.970703
     170,0.052002,0.015381,0.962158
     180,0.052979,0.010498,0.964844
     190,0.046875,0.013184,0.965332
     200,0.049561,0.008789,0.962402
     210,0.050781,0.012207,0.965820
     220,0.053955,0.011230,0.961426
     230,0.059082,0.012695,0.965576
     240,0.053955,0.013672,0.964111
     250,0.047607,0.011719,0.965820
     260,0.052246,0.013916,0.966797
     270,0.045898,0.007324,0.961182
     280,0.054199,0.009521,0.963867
     290,0.051025,0.014160,0.964844
     300,0.046387,0.013428,0.970703
     310,0.051025,0.015869,0.955322
     320,0.053467,0.010742,0.961914
     330,0.050537,0.012207,0.964355
     340,0.047119,0.011963,0.960449
     350,0.049805,0.017090,0.964600
     360,0.047852,0.013184,0.963623
     370,0.051270,0.013672,0.959717
     380,0.052734,0.015625,0.970459
     390,0.053223,0.014404,0.963623
     400,0.048828,0.012695,0.961670
     410,0.052002,0.013428,0.966797
     420,0.049805,0.014404,0.962402
     430,0.052002,0.016602,0.962158
     440,0.050293,0.006836,0.964111
     450,0.053223,0.014893,0.963623
     460,0.055420,0.012207,0.967041
     470,0.060547,0.009277,0.965576
     480,0.047852,0.011230,0.961914
     490,0.053955,0.010742,0.954346
     500,0.051758,0.010498,0.962891
     510,0.053467,0.010254,0.970703
     520,0.052734,0.012939,0.961426
     530,0.044922,0.009766,0.958984
     540,0.052490,0.012695,0.960449
     550,0.055176,0.011475,0.963867
     560,0.052246,0.014648,0.958008
     570,0.048096,0.010010,0.965332
     580,0.052002,0.005127,0.965820
     590,0.045898,0.006592,0.961182
     600,0.049316,0.008057,0.964844
     610,0.047363,0.008545,0.966309
     620,0.058838,0.009766,0.965576
     630,0.053711,0.018555,0.969238
     640,0.053467,0.013916,0.959473
     650,0.052246,0.015625,0.965332
     660,0.056885,0.010498,0.965576
     670,0.055420,0.015137,0.959229
     680,0.055908,0.016602,0.965332
     690,0.058105,0.012207,0.964111
     700,0.050049,0.012451,0.969482
     710,0.049072,0.009521,0.969971
     720,0.051514,0.012939,0.959961
     730,0.059570,0.007080,0.965332
     740,0.054932,0.007080,0.957031
     750,0.057617,0.013428,0.960449
     760,0.046631,0.010498,0.962646
     770,0.059082,0.012939,0.966064
     780,0.053467,0.016113,0.963867
     790,0.054932,0.014404,0.968506
     800,0.051270,0.010986,0.962158
     810,0.052490,0.013428,0.961914
     820,0.048096,0.015869,0.960449
     830,0.052246,0.007568,0.963867
     840,0.052002,0.015625,0.962891
     850,0.053467,0.009766,0.964600
     860,0.050781,0.016602,0.961426
     870,0.054199,0.017334,0.964355
     880,0.048828,0.011963,0.957275
     890,0.051025,0.003662,0.970459
     900,0.052002,0.013184,0.959717
     910,0.054932,0.010498,0.968506
     920,0.052002,0.016846,0.958984
     930,0.055908,0.013184,0.962402
     940,0.049072,0.012207,0.968506
     950,0.051514,0.016846,0.963623
     960,0.049805,0.016357,0.964355
     970,0.057617,0.016602,0.964111
     980,0.052734,0.012939,0.961182
     990,0.050781,0.010498,0.966309
    1000,0.050537,0.005371,0.968750
    1010,0.053711,0.015381,0.966309
    1020,0.055908,0.007080,0.963623
    1030,0.052734,0.009277,0.963623
    1040,0.048340,0.008301,0.961914
    1050,0.054688,0.013428,0.961670
    1060,0.054443,0.014893,0.971436
    1070,0.054199,0.016846,0.965332
    1080,0.056152,0.010986,0.962158
    1090,0.054199,0.017334,0.966309
    1100,0.051025,0.012695,0.965332
    1110,0.050537,0.009766,0.964844
    1120,0.046143,0.004639,0.961182
    1130,0.054932,0.009033,0.963623
    1140,0.053955,0.010742,0.965576
    1150,0.052002,0.017822,0.969971
    1160,0.052002,0.007568,0.965088
    1170,0.056396,0.013428,0.965820
    1180,0.047363,0.015137,0.962402
    1190,0.046143,0.011230,0.961426
    1200,0.047363,0.011719,0.970947
    1210,0.051758,0.009277,0.964600
    1220,0.053711,0.011475,0.958252
    1230,0.052246,0.013916,0.968018
    1240,0.050781,0.015869,0.969238
    1250,0.052734,0.005859,0.962891
    1260,0.048096,0.008545,0.972900
    1270,0.054932,0.012939,0.962646
    1280,0.051514,0.010986,0.962891
    1290,0.051025,0.010010,0.971924
    1300,0.052002,0.014648,0.964600
    1310,0.049561,0.009766,0.952637
    1320,0.051758,0.016113,0.970215
    1330,0.051514,0.016846,0.961670
    1340,0.053955,0.007568,0.969482
    1350,0.052246,0.009277,0.963135
    1360,0.055176,0.013184,0.961182
    1370,0.051758,0.011475,0.958252
    1380,0.055664,0.015869,0.960693
    1390,0.049072,0.014404,0.965088
    1400,0.057129,0.010254,0.962402
    1410,0.051025,0.011719,0.966309
    1420,0.050049,0.011475,0.960205
