=============== Sampling Metadata ===============
Node ID: 2
Start Time: 2025-07-02 16:16:30.000
Sampling Rate: 100 Hz
Duration: 180 s
================= Sampling Data =================
time_ms,ax,ay,az
      28,0.029541,-0.022461,0.982910
      30,0.034424,-0.021240,0.980469
      31,0.031738,-0.019043,0.980225
      40,0.031738,-0.020752,0.979248
      50,0.034668,-0.016357,0.984619
      60,0.032227,-0.016846,0.978027
      70,0.031250,-0.018311,0.981689
      80,0.025879,-0.020508,0.983398
      90,0.030273,-0.022949,0.980713
     100,0.030273,-0.019531,0.985107
     110,0.030029,-0.014893,0.988281
     120,0.027832,-0.020264,0.979736
     130,0.031494,-0.016357,0.982422
     140,0.030273,-0.016846,0.980713
     150,0.031982,-0.016357,0.976807
     160,0.032959,-0.020020,0.985840
     170,0.030762,-0.015381,0.982422
     180,0.033936,-0.017334,0.983398
     190,0.034180,-0.014160,0.971436
     200,0.031982,-0.020996,0.977051
     210,0.031494,-0.020752,0.977539
     220,0.028564,-0.019531,0.980225
     230,0.030029,-0.022217,0.983887
     240,0.031738,-0.018555,0.981445
     250,0.034424,-0.017578,0.983398
     260,0.027832,-0.021240,0.983643
     270,0.031494,-0.024170,0.975098
     280,0.033203,-0.014893,0.978027
     290,0.029541,-0.016846,0.984619
     300,0.030273,-0.016357,0.980957
     310,0.024902,-0.020508,0.981445
     320,0.026855,-0.018799,0.979004
     330,0.021484,-0.022461,0.982422
     340,0.027588,-0.015381,0.985352
     350,0.040283,-0.016113,0.985352
     360,0.027344,-0.020508,0.984375
     370,0.034668,-0.017334,0.975586
     380,0.027832,-0.022949,0.990479
     390,0.033936,-0.015625,0.980957
     400,0.024658,-0.016357,0.976318
     410,0.034180,-0.021240,0.983154
     420,0.027832,-0.019775,0.981934
     430,0.026855,-0.020020,0.982178
     440,0.030029,-0.017578,0.989258
     450,0.028320,-0.022461,0.983154
     460,0.036621,-0.017334,0.982422
     470,0.037354,-0.020264,0.977783
     480,0.034912,-0.016357,0.980225
     490,0.026123,-0.017090,0.977783
     500,0.030273,-0.016846,0.982422
     510,0.030762,-0.018555,0.981201
     520,0.037109,-0.017822,0.981689
     530,0.033447,-0.025879,0.979736
     540,0.033203,-0.017822,0.986328
     550,0.031738,-0.017334,0.984131
     560,0.031250,-0.014893,0.984619
     570,0.033691,-0.016357,0.985352
     580,0.031250,-0.019775,0.991943
     590,0.033691,-0.016602,0.989258
     600,0.032227,-0.019287,0.980225
     610,0.035156,-0.020020,0.988770
     620,0.031494,-0.016602,0.982910
     630,0.031738,-0.016602,0.984375
     640,0.031738,-0.017578,0.984619
     650,0.027344,-0.015137,0.965820
     660,0.025391,-0.020752,0.982422
     670,0.030762,-0.016357,0.982666
     680,0.028564,-0.021240,0.988770
     690,0.028320,-0.020020,0.980713
     700,0.027588,-0.019287,0.981445
     710,0.030029,-0.016113,0.975586
     720,0.031006,-0.019775,0.979492
     730,0.032227,-0.020508,0.978027
     740,0.039062,-0.014893,0.974121
     750,0.037109,-0.017090,0.985596
     760,0.036133,-0.020020,0.984131
     770,0.030762,-0.015381,0.979248
     780,0.029297,-0.018066,0.977295
     790,0.033691,-0.013916,0.984863
     800,0.034180,-0.020264,0.982910
     810,0.028564,-0.019043,0.974365
     820,0.035156,-0.017578,0.978516
     830,0.035889,-0.020508,0.988525
     840,0.026611,-0.021973,0.980713
     850,0.030518,-0.017578,0.982422
     860,0.028809,-0.020508,0.986816
     870,0.027832,-0.014160,0.984619
     880,0.031006,-0.020264,0.979736
     890,0.030518,-0.015625,0.983643
     900,0.033691,-0.019531,0.981201
     910,0.030518,-0.020508,0.982422
     920,0.033447,-0.021484,0.987305
     930,0.030518,-0.020996,0.983398
     940,0.030273,-0.020020,0.979248
     950,0.036865,-0.020264,0.980957
     960,0.036865,-0.016602,0.981689
     970,0.029053,-0.017822,0.980225
     980,0.034668,-0.017578,0.984863
     990,0.038086,-0.015381,0.975342
    1000,0.028076,-0.023438,0.979736
    1010,0.032959,-0.019287,0.982422
    1020,0.031494,-0.018555,0.983887
    1030,0.032715,-0.014160,0.981689
    1040,0.026123,-0.021240,0.983398
    1050,0.029053,-0.015381,0.979248
    1060,0.030273,-0.014648,0.976807
    1070,0.028564,-0.015137,0.996582
    1080,0.025391,-0.017578,0.983887
    1090,0.034668,-0.020020,0.980957
    1100,0.032959,-0.017822,0.980957
    1110,0.024170,-0.015381,0.982178
    1120,0.030273,-0.016113,0.983887
    1130,0.037598,-0.022461,0.974365
    1140,0.034180,-0.022705,0.978027
    1150,0.036133,-0.019043,0.987061
    1160,0.034668,-0.018311,0.979736
    1170,0.028564,-0.020508,0.993164
    1180,0.032471,-0.018311,0.980225
    1190,0.033203,-0.015381,0.989258
    1200,0.031006,-0.023438,0.986816
    1210,0.033691,-0.016357,0.985352
    1220,0.031494,-0.020508,0.976318
    1230,0.037598,-0.014404,0.989502
    1240,0.034668,-0.025879,0.981201
    1250,0.036865,-0.019531,0.970947
    1260,0.029053,-0.017334,0.983643
    1270,0.030518,-0.014893,0.979004
    1280,0.030762,-0.018799,0.982910
    1290,0.034424,-0.016357,0.975342
    1300,0.028809,-0.021240,0.980225
    1310,0.033447,-0.025391,0.984375
    1320,0.032959,-0.015869,0.975586
    1330,0.031250,-0.020752,0.977295
    1340,0.032227,-0.018311,0.990234
    1350,0.029053,-0.019287,0.984863
    1360,0.032959,-0.019287,0.975830
    1370,0.032227,-0.017578,0.986328
    1380,0.031738,-0.019043,0.977295
    1390,0.032471,-0.015625,0.981445
    1400,0.035400,-0.020020,0.984375
    1410,0.036865,-0.021729,0.985352
    1420,0.030762,-0.016602,0.978027
    1430,0.032959,-0.016113,0.983887
    1440,0.035645,-0.018311,0.985352
    1450,0.026855,-0.018066,0.986328
    1460,0.030273,-0.018066,0.987305
    1470,0.025635,-0.015869,0.979248
    1480,0.031738,-0.019043,0.977783
    1490,0.030518,-0.018555,0.984619
    1500,0.031982,-0.016357,0.982666
    1510,0.035889,-0.015137,0.972412
    1520,0.030029,-0.014648,0.977051
    1530,0.033936,-0.011230,0.981934
    1540,0.030273,-0.022705,0.980225
    1550,0.037598,-0.021973,0.979980
    1560,0.031738,-0.018555,0.979980
    1570,0.027832,-0.021240,0.991699
    1580,0.029053,-0.020508,0.981689
    1590,0.029785,-0.019531,0.985352
    1600,0.031006,-0.018066,0.980225
    1610,0.028809,-0.017090,0.982666
    1620,0.034668,-0.023682,0.979736
    1630,0.039062,-0.020020,0.978271
    1640,0.028320,-0.020996,0.983398
    1650,0.031006,-0.021484,0.979736
    1660,0.033936,-0.019043,0.977783
    1670,0.029785,-0.009033,0.980225
    1680,0.038086,-0.015625,0.989502
    1690,0.032959,-0.022949,0.977783
    1700,0.032959,-0.018799,0.980957
    1710,0.028320,-0.016846,0.986084
    1720,0.034668,-0.015137,0.982422
    1730,0.035156,-0.017822,0.989746
    1740,0.031982,-0.021240,0.978271
    1750,0.030029,-0.021240,0.983643
    1760,0.030273,-0.018066,0.979980
    1770,0.035889,-0.018799,0.978760
    1780,0.031982,-0.014648,0.983887
    1790,0.035156,-0.024902,0.998291
    1800,0.033203,-0.020752,0.980957
    1810,0.041260,-0.024170,0.981689
    1820,0.032227,-0.017822,0.982666
    1830,0.031982,-0.014648,0.983154
    1840,0.034180,-0.021729,0.982666
    1850,0.039062,-0.013916,0.984863
    1860,0.033203,-0.013916,0.977051
    1870,0.033203,-0.018799,0.987549
    1880,0.027832,-0.018066,0.983398
    1890,0.032227,-0.016357,0.982178
    1900,0.026367,-0.021729,0.979980
    1910,0.023926,-0.019043,0.983398
    1920,0.035889,-0.021240,0.982422
    1930,0.031982,-0.016113,0.978516
    1940,0.030518,-0.022461,0.976807
    1950,0.029541,-0.019287,0.980225
    1960,0.030029,-0.019531,0.980469
    1970,0.036621,-0.020752,0.981445
    1980,0.029053,-0.016602,0.980713
    1990,0.031738,-0.018311,0.986084
    2000,0.032959,-0.018555,0.983154
