=============== Sampling Metadata ===============
Node ID: 3
Start Time: 2025-07-02 16:02:00.000
Sampling Rate: 100 Hz
Duration: 420 s
================= Sampling Data =================
time_ms,ax,ay,az
      32,0.034180,-0.020508,0.926025
      34,0.033691,-0.020264,0.928467
      35,0.034180,-0.024902,0.936279
      40,0.036865,-0.024658,0.928467
      50,0.032471,-0.024414,0.932617
      60,0.040039,-0.030273,0.924316
      70,0.034180,-0.021729,0.935547
      80,0.036865,-0.018555,0.934326
      90,0.039062,-0.026855,0.927002
     100,0.039307,-0.020508,0.933838
     110,0.039062,-0.022949,0.929199
     120,0.038330,-0.020020,0.938477
     130,0.034668,-0.020020,0.925049
     140,0.039062,-0.016846,0.920410
     150,0.032227,-0.020996,0.935303
     160,0.035156,-0.015625,0.933838
     170,0.035645,-0.016602,0.928955
     180,0.035400,-0.019531,0.921875
     190,0.031982,-0.024414,0.928711
     200,0.031006,-0.020996,0.942871
     210,0.029785,-0.019287,0.928223
     220,0.031494,-0.020020,0.924805
     230,0.035400,-0.023682,0.934082
     240,0.033691,-0.020264,0.930908
     250,0.026855,-0.016113,0.929932
     260,0.036133,-0.019287,0.933105
     270,0.038574,-0.023193,0.934814
     280,0.035889,-0.022949,0.934570
     290,0.034668,-0.021240,0.933350
     300,0.036865,-0.015381,0.923584
     310,0.030273,-0.022461,0.938232
     320,0.034180,-0.025391,0.937500
     330,0.037842,-0.022949,0.924316
     340,0.036133,-0.022705,0.929443
     350,0.040771,-0.021973,0.933838
     360,0.031006,-0.019043,0.930176
     370,0.036865,-0.018066,0.926025
     380,0.027344,-0.020020,0.927734
     390,0.037354,-0.021484,0.929932
     400,0.037842,-0.021484,0.930176
     410,0.032715,-0.019775,0.934326
     420,0.033691,-0.019287,0.937744
     430,0.039062,-0.022705,0.937744
     440,0.032471,-0.026611,0.924072
     450,0.038330,-0.021729,0.928711
     460,0.037842,-0.020508,0.939209
     470,0.034912,-0.026611,0.939453
     480,0.039795,-0.018555,0.926514
     490,0.035400,-0.020264,0.928223
     500,0.033203,-0.021973,0.925537
     510,0.039795,-0.024658,0.931396
     520,0.036377,-0.019775,0.933350
     530,0.039062,-0.015381,0.920410
     540,0.038818,-0.022705,0.937744
     550,0.035889,-0.023926,0.924072
     560,0.037842,-0.022949,0.937256
     570,0.036865,-0.026367,0.928955
     580,0.038330,-0.026367,0.927490
     590,0.034912,-0.021973,0.938232
     600,0.033936,-0.020508,0.934082
     610,0.037842,-0.021973,0.924561
     620,0.038086,-0.022949,0.934082
     630,0.037598,-0.021240,0.934326
     640,0.035889,-0.023193,0.935059
     650,0.034668,-0.025879,0.936523
     660,0.037842,-0.019043,0.930908
     670,0.039795,-0.014648,0.924561
     680,0.031738,-0.020264,0.941406
     690,0.036621,-0.024414,0.933838
     700,0.033691,-0.022949,0.929443
     710,0.037354,-0.017822,0.933105
     720,0.033447,-0.018555,0.943359
     730,0.034424,-0.016846,0.927002
