=============== Sampling Metadata ===============
Node ID: 2
Start Time: 2025-07-02 16:02:00.000
Sampling Rate: 100 Hz
Duration: 420 s
================= Sampling Data =================
time_ms,ax,ay,az
      30,0.030273,-0.017578,0.979248
      32,0.029541,-0.014404,0.979248
      33,0.027588,-0.010986,0.984863
      40,0.027100,-0.017090,0.980713
      50,0.033936,-0.022705,0.989258
      60,0.034912,-0.023193,0.976074
      70,0.037842,-0.018799,0.984375
      80,0.034180,-0.018311,0.980469
      90,0.029297,-0.024170,0.991455
     100,0.039062,-0.019287,0.986572
     110,0.028320,-0.010498,0.982178
     120,0.032959,-0.010742,0.985352
     130,0.032471,-0.018311,0.980713
     140,0.034668,-0.023193,0.986084
     150,0.029541,-0.015137,0.982178
     160,0.029297,-0.018311,0.987549
     170,0.028076,-0.017822,0.981201
     180,0.032227,-0.017334,0.986572
     190,0.034424,-0.018066,0.984375
     200,0.028320,-0.020264,0.983398
     210,0.031982,-0.013916,0.978027
     220,0.032715,-0.025879,0.983643
     230,0.033691,-0.011230,0.980957
     240,0.033203,-0.014160,0.984863
     250,0.028564,-0.020020,0.988525
     260,0.035156,-0.016357,0.984375
     270,0.028809,-0.017334,0.994385
     280,0.033203,-0.014160,0.980957
     290,0.028320,-0.017578,0.976807
     300,0.030029,-0.018066,0.985596
     310,0.028564,-0.018555,0.981689
     320,0.034424,-0.020996,0.981201
     330,0.028809,-0.025635,0.980469
     340,0.029785,-0.016846,0.972168
     350,0.029541,-0.018799,0.984619
     360,0.032715,-0.016357,0.990479
     370,0.034668,-0.013916,0.975098
     380,0.032715,-0.020264,0.969482
     390,0.026611,-0.013184,0.979004
     400,0.034668,-0.014648,0.974609
     410,0.028076,-0.019531,0.980957
     420,0.025635,-0.011230,0.985840
     430,0.031006,-0.016357,0.984619
     440,0.030762,-0.014893,0.986328
     450,0.028320,-0.021240,0.979980
     460,0.030762,-0.013916,0.981934
     470,0.032715,-0.016357,0.983887
     480,0.030029,-0.021484,0.976318
     490,0.032471,-0.016357,0.976807
     500,0.031738,-0.016113,0.979736
     510,0.033447,-0.017334,0.986572
     520,0.032227,-0.021484,0.981445
     530,0.034668,-0.017334,0.989990
     540,0.033447,-0.015381,0.985840
     550,0.032959,-0.026123,0.993164
     560,0.029785,-0.018066,0.985596
     570,0.034912,-0.022217,0.984619
     580,0.034424,-0.015625,0.982910
     590,0.028320,-0.020264,0.980713
