=============== Sampling Metadata ===============
Node ID: 4
Start Time: 2025-07-02 17:06:30.000
Sampling Rate: 100 Hz
Duration: 30 s
================= Sampling Data =================
time_ms,ax,ay,az
      34,0.060547,0.000977,0.971680
      36,0.064941,0.004395,0.963623
      37,0.062012,-0.002441,0.963379
      40,0.065430,0.002441,0.968750
      50,0.058838,0.005859,0.975098
      60,0.059082,-0.001221,0.974854
      70,0.061279,0.002441,0.966553
      80,0.063721,-0.004883,0.967041
      90,0.062500,0.000732,0.968262
     100,0.056152,0.000244,0.967529
     110,0.062012,-0.003174,0.966309
     120,0.058594,0.002441,0.965576
     130,0.066406,0.002686,0.966309
     140,0.066895,0.002930,0.971924
     150,0.059326,-0.000244,0.967773
     160,0.053955,-0.003174,0.960938
     170,0.061279,0.003418,0.959473
     180,0.059082,0.001465,0.966309
     190,0.056641,-0.000977,0.962646
     200,0.064697,-0.005615,0.969971
     210,0.062256,-0.004395,0.965820
     220,0.063721,0.004150,0.968994
     230,0.063477,-0.002441,0.972168
     240,0.061035,0.000732,0.963379
     250,0.064209,0.001709,0.963135
     260,0.055420,0.001953,0.958740
     270,0.063721,-0.002930,0.963623
     280,0.060547,0.000244,0.964600
     290,0.058350,-0.000977,0.966553
     300,0.059814,-0.000732,0.964600
     310,0.061768,0.003174,0.968994
     320,0.059326,-0.000977,0.972900
     330,0.062012,0.000244,0.967285
     340,0.058350,0.000000,0.962646
     350,0.061279,-0.001709,0.963867
     360,0.064941,0.002686,0.967773
     370,0.058350,-0.002197,0.972656
     380,0.059082,0.003418,0.974854
     390,0.065674,-0.003662,0.970703
     400,0.062256,0.004150,0.959229
     410,0.061523,-0.000244,0.968994
     420,0.063721,0.001953,0.970459
     430,0.065430,0.000488,0.974854
     440,0.057617,0.003662,0.964355
     450,0.066406,-0.000488,0.966309
     460,0.064453,-0.002441,0.966309
     470,0.061523,-0.000244,0.965820
     480,0.056641,-0.002930,0.963379
     490,0.055420,0.004883,0.966553
     500,0.062988,0.003418,0.965332
     510,0.062988,-0.002930,0.968262
     520,0.060791,0.000977,0.969238
     530,0.058594,0.002686,0.971924
     540,0.063232,0.000977,0.966553
     550,0.057373,-0.001709,0.969971
     560,0.060547,0.002686,0.959717
