=============== Sampling Metadata ===============
Node ID: 4
Start Time: 2025-07-02 17:09:30.000
Sampling Rate: 100 Hz
Duration: 30 s
================= Sampling Data =================
time_ms,ax,ay,az
      36,0.057129,-0.005859,0.966553
      37,0.060059,-0.005615,0.960693
      39,0.063721,-0.000488,0.962158
      40,0.061523,0.000000,0.973389
      50,0.057617,0.002197,0.972656
      60,0.060059,-0.007324,0.971924
      70,0.060059,-0.001709,0.962158
      80,0.061768,0.000244,0.966309
      90,0.060791,-0.003662,0.965332
     100,0.063965,0.002686,0.967529
     110,0.059570,0.001953,0.966797
     120,0.063965,0.003662,0.961914
     130,0.062988,-0.001465,0.966553
     140,0.059570,-0.001221,0.965820
     150,0.058105,0.000488,0.971191
     160,0.062256,0.003174,0.968994
     170,0.060303,0.003174,0.969727
     180,0.061279,0.003418,0.961426
     190,0.056641,0.010742,0.962891
     200,0.060791,-0.002197,0.966309
     210,0.065918,0.000488,0.969727
     220,0.061768,0.004883,0.965820
     230,0.057129,0.001465,0.966309
     240,0.065186,-0.002197,0.971191
     250,0.056641,0.000732,0.962646
     260,0.067383,0.007080,0.972168
     270,0.066162,0.001709,0.967529
     280,0.066895,-0.000977,0.964600
     290,0.062012,-0.002686,0.971924
     300,0.060791,0.000732,0.965332
     310,0.062744,0.002930,0.974609
     320,0.061279,0.002197,0.961914
     330,0.060791,0.000000,0.971436
     340,0.060547,-0.000244,0.963867
     350,0.063721,-0.003662,0.965576
     360,0.059082,0.001221,0.961914
     370,0.057129,-0.001953,0.964111
     380,0.061035,0.001953,0.962891
     390,0.061279,-0.000488,0.966064
     400,0.055176,0.001709,0.963623
     410,0.059326,-0.003662,0.973633
     420,0.060059,-0.003662,0.971924
     430,0.062744,0.005127,0.965332
     440,0.056885,0.003662,0.962158
     450,0.054688,-0.001709,0.968994
     460,0.061768,0.000244,0.968994
     470,0.061035,-0.001465,0.966797
     480,0.062256,-0.003906,0.965576
     490,0.060059,0.000244,0.968262
     500,0.062988,0.000977,0.967529
     510,0.063477,0.003418,0.964355
     520,0.058105,-0.000977,0.968750
     530,0.065186,0.001465,0.966309
     540,0.060059,0.001465,0.967285
     550,0.061523,0.001465,0.968506
     560,0.061279,-0.003662,0.971191
     570,0.062256,0.002197,0.968262
     580,0.063232,-0.001709,0.972168
     590,0.057861,-0.005615,0.971191
     600,0.058105,0.004150,0.971191
     610,0.060547,-0.003174,0.963623
     620,0.057129,-0.003906,0.965088
     630,0.055420,-0.002930,0.969482
     640,0.062256,-0.000244,0.973877
     650,0.061035,-0.000732,0.963867
     660,0.063477,-0.005859,0.964355
     670,0.063965,0.000000,0.967285
     680,0.064453,0.000244,0.960938
     690,0.061035,0.000732,0.964111
     700,0.061035,-0.003174,0.969238
     710,0.061768,0.000732,0.965820
     720,0.057861,-0.004883,0.969971
     730,0.060059,0.004395,0.973389
     740,0.063477,-0.004395,0.970459
     750,0.061035,0.000732,0.965820
     760,0.060059,0.005127,0.961914
     770,0.064453,-0.002197,0.965576
     780,0.062988,-0.000977,0.958740
     790,0.065430,-0.000732,0.969238
     800,0.062988,0.000244,0.972900
     810,0.053467,-0.000488,0.962402
     820,0.061035,0.006348,0.965576
     830,0.059082,-0.002930,0.972412
     840,0.062012,0.000000,0.964111
     850,0.064453,0.006104,0.969482
     860,0.060059,0.004150,0.971680
     870,0.063965,0.002441,0.968018
     880,0.062012,-0.002686,0.964111
     890,0.061523,0.006104,0.976562
     900,0.063232,0.000732,0.970703
     910,0.065186,-0.001465,0.973877
     920,0.062500,0.006592,0.958984
     930,0.060791,0.001953,0.965332
     940,0.062256,0.002930,0.967529
     950,0.060547,0.003662,0.969238
     960,0.061035,-0.001465,0.963867
     970,0.056152,0.006104,0.970459
     980,0.055176,-0.004639,0.964844
     990,0.060059,0.000488,0.964355
    1000,0.065186,0.003174,0.963135
    1010,0.052979,0.000488,0.972900
    1020,0.059326,0.004883,0.960693
    1030,0.062256,0.001221,0.964600
    1040,0.064209,0.007568,0.966797
    1050,0.061279,-0.002441,0.958252
    1060,0.061768,0.003418,0.968262
    1070,0.064941,-0.005615,0.968018
    1080,0.062744,-0.001221,0.963623
    1090,0.055420,-0.003418,0.962891
    1100,0.059082,0.006836,0.968262
    1110,0.064941,0.008545,0.965332
    1120,0.060547,-0.000488,0.969727
    1130,0.063721,-0.001953,0.964844
    1140,0.061523,-0.000977,0.963135
    1150,0.059570,0.005859,0.965820
    1160,0.060791,0.001465,0.965088
    1170,0.062256,-0.005859,0.969238
    1180,0.063965,-0.001953,0.969971
    1190,0.064697,-0.001465,0.963623
    1200,0.059814,0.001221,0.972900
    1210,0.060059,0.006104,0.965576
    1220,0.060059,-0.000732,0.962891
    1230,0.063721,0.000244,0.964111
    1240,0.059814,-0.005371,0.969727
    1250,0.061035,-0.001221,0.971680
    1260,0.063477,0.004883,0.966064
    1270,0.063721,-0.000488,0.973633
    1280,0.058838,0.001709,0.962402
    1290,0.056152,0.002930,0.970459
    1300,0.057617,-0.004395,0.970703
    1310,0.061035,0.001465,0.969971
    1320,0.060791,-0.002686,0.965088
    1330,0.060547,0.000244,0.970703
    1340,0.058350,0.001221,0.965332
    1350,0.063721,-0.000244,0.970215
    1360,0.065674,0.003662,0.962646
    1370,0.062012,0.000000,0.967773
    1380,0.062744,0.001221,0.970947
    1390,0.066895,0.000732,0.966309
    1400,0.061523,-0.004395,0.957520
    1410,0.058594,0.002930,0.969482
    1420,0.063477,0.001709,0.965820
    1430,0.060791,-0.001709,0.969727
    1440,0.062744,0.003662,0.973145
    1450,0.063721,0.004883,0.966553
    1460,0.064697,0.002197,0.970215
    1470,0.061279,0.000244,0.966553
    1480,0.066895,0.003662,0.968994
    1490,0.060303,0.000244,0.962158
    1500,0.063232,-0.001221,0.967041
    1510,0.060303,-0.001221,0.962158
    1520,0.054688,0.004883,0.972900
    1530,0.059082,-0.000732,0.967529
    1540,0.063965,-0.000244,0.959229
    1550,0.059814,-0.005371,0.965576
    1560,0.061768,-0.006348,0.965332
    1570,0.061035,-0.004883,0.964600
    1580,0.062744,-0.003662,0.970703
    1590,0.060547,0.005127,0.974609
    1600,0.058594,0.007568,0.970459
    1610,0.062012,-0.001221,0.969727
    1620,0.068359,0.001953,0.975586
    1630,0.060791,-0.005127,0.961914
    1640,0.064941,0.001953,0.960205
    1650,0.057617,0.002441,0.966309
    1660,0.063721,-0.002930,0.970703
    1670,0.060547,0.001709,0.961670
    1680,0.063721,0.002197,0.967773
    1690,0.060059,-0.000977,0.967529
    1700,0.058350,-0.001709,0.963623
    1710,0.061279,0.004639,0.968018
    1720,0.061035,0.001709,0.968750
    1730,0.060791,0.000732,0.965088
    1740,0.064453,0.001953,0.967285
    1750,0.064453,0.000977,0.966553
    1760,0.062744,0.000977,0.963867
    1770,0.060303,-0.003662,0.963623
    1780,0.063721,0.001709,0.962891
    1790,0.064453,-0.004395,0.973145
    1800,0.062012,-0.000977,0.968262
    1810,0.064453,0.001221,0.967285
    1820,0.066650,0.003174,0.971436
    1830,0.062256,0.002930,0.970459
    1840,0.069580,0.002441,0.966553
    1850,0.064453,-0.000244,0.968018
    1860,0.064209,-0.002686,0.968994
    1870,0.058350,-0.001465,0.970947
    1880,0.064941,-0.004395,0.960205
    1890,0.059082,0.004150,0.961182
    1900,0.061035,0.007080,0.964355
    1910,0.061279,-0.003174,0.962402
    1920,0.056641,-0.001953,0.967529
    1930,0.060303,0.003174,0.967285
    1940,0.058105,-0.007080,0.970703
    1950,0.053955,0.001465,0.968018
    1960,0.067871,-0.002930,0.968018
    1970,0.053711,0.001465,0.971191
    1980,0.059570,-0.001221,0.968018
    1990,0.063721,-0.001221,0.969971
    2000,0.056396,-0.002197,0.971191
    2010,0.055664,-0.003662,0.965088
    2020,0.059570,0.002441,0.965576
    2030,0.059814,-0.003174,0.968018
    2040,0.058105,0.004150,0.968262
    2050,0.061523,-0.002441,0.966064
    2060,0.052979,-0.001953,0.970947
    2070,0.055664,0.000977,0.968994
    2080,0.062500,0.000000,0.971924
    2090,0.062256,0.004150,0.970947
    2100,0.055420,0.003418,0.966553
    2110,0.059082,0.000977,0.962891
    2120,0.058594,-0.002686,0.969238
    2130,0.060547,-0.004639,0.962891
    2140,0.063721,-0.001709,0.964600
    2150,0.058105,-0.003174,0.966064
    2160,0.060059,-0.001953,0.974365
    2170,0.062744,-0.000732,0.962158
    2180,0.062012,0.000000,0.972412
    2190,0.062500,-0.000244,0.975586
    2200,0.064209,-0.002441,0.961182
    2210,0.054688,-0.000977,0.963867
    2220,0.059570,0.004639,0.962402
    2230,0.053955,-0.002930,0.964844
    2240,0.063965,0.002686,0.969971
    2250,0.063721,0.006348,0.966797
    2260,0.060059,0.000244,0.961182
    2270,0.063965,0.003906,0.959717
    2280,0.058838,-0.002686,0.965576
    2290,0.061523,-0.006348,0.966553
    2300,0.064941,-0.001953,0.972412
    2310,0.062012,0.000977,0.970947
    2320,0.064941,-0.003662,0.968262
    2330,0.056885,0.002686,0.970703
    2340,0.057861,-0.006348,0.968018
    2350,0.062988,-0.000488,0.966309
    2360,0.065674,0.000244,0.963623
    2370,0.061279,-0.001953,0.960693
    2380,0.059326,0.002930,0.976807
    2390,0.061035,0.003174,0.963379
    2400,0.059814,-0.000488,0.965332
    2410,0.062012,-0.000732,0.963867
    2420,0.066650,-0.001465,0.962646
    2430,0.058594,-0.001221,0.966309
    2440,0.065430,0.000488,0.966309
    2450,0.061523,0.003418,0.964600
    2460,0.059814,0.002930,0.966309
    2470,0.058594,0.004883,0.968262
    2480,0.056396,-0.002686,0.958984
    2490,0.064209,0.001709,0.965820
    2500,0.058105,-0.004639,0.969238
    2510,0.066650,-0.005127,0.966309
    2520,0.057373,0.000732,0.963379
    2530,0.055664,-0.001465,0.965088
    2540,0.057861,0.004150,0.965332
    2550,0.061279,0.001221,0.969482
    2560,0.057129,0.005615,0.972412
    2570,0.051758,0.002197,0.969482
    2580,0.062744,-0.002441,0.966797
    2590,0.055420,0.000732,0.960449
    2600,0.066650,-0.008789,0.966309
    2610,0.062256,-0.005371,0.964111
    2620,0.062500,0.000732,0.964600
    2630,0.065918,0.000000,0.963379
    2640,0.058350,-0.001465,0.969238
    2650,0.060547,0.000000,0.962646
    2660,0.058350,-0.000244,0.973633
    2670,0.057861,-0.000488,0.968750
    2680,0.058838,0.002930,0.966064
    2690,0.061523,-0.000732,0.969238
    2700,0.060059,-0.005615,0.968750
    2710,0.062744,0.000244,0.962891
    2720,0.061279,-0.001465,0.968506
    2730,0.059570,-0.000732,0.967285
    2740,0.064697,-0.000244,0.968750
    2750,0.065674,0.000244,0.973877
    2760,0.058350,0.006592,0.967529
    2770,0.063477,-0.000732,0.966309
    2780,0.058594,-0.004639,0.963135
    2790,0.063721,-0.000488,0.971680
    2800,0.067139,0.008057,0.962646
    2810,0.056641,-0.001709,0.966309
    2820,0.061523,0.002686,0.964600
    2830,0.060303,-0.001465,0.968994
    2840,0.062744,-0.000244,0.960693
    2850,0.057617,0.001465,0.966064
    2860,0.057373,-0.003418,0.966309
    2870,0.057861,-0.001221,0.967773
    2880,0.064453,0.001709,0.967773
    2890,0.058350,-0.001465,0.966553
    2900,0.061035,-0.004395,0.960449
    2910,0.055420,-0.000488,0.964600
    2920,0.065918,0.002930,0.964111
    2930,0.058350,0.000732,0.964844
    2940,0.060547,0.004150,0.964111
    2950,0.057861,0.000000,0.971191
    2960,0.059814,-0.002930,0.963623
    2970,0.060547,0.004395,0.967041
    2980,0.062012,-0.001465,0.968750
    2990,0.062500,0.002686,0.967041
    3000,0.066406,-0.000732,0.963135
    3010,0.064453,0.004639,0.971191
    3020,0.058838,0.006348,0.966309
    3030,0.061035,0.004150,0.967529
    3040,0.057129,0.002930,0.961914
    3050,0.065430,0.004150,0.966553
    3060,0.057129,0.009033,0.962646
    3070,0.060547,-0.001709,0.966064
    3080,0.061035,0.000000,0.964600
    3090,0.059326,0.002197,0.962158
    3100,0.060303,0.000977,0.972168
    3110,0.056152,0.004150,0.966064
    3120,0.060547,0.006592,0.959473
    3130,0.060791,-0.000977,0.971680
    3140,0.060059,-0.001953,0.969482
    3150,0.055664,-0.004395,0.971191
    3160,0.064453,-0.001221,0.966797
    3170,0.056641,-0.001709,0.961182
    3180,0.061279,-0.004150,0.968506
    3190,0.063721,-0.001465,0.967529
    3200,0.055420,-0.002441,0.964111
    3210,0.061523,0.003906,0.966797
    3220,0.057617,-0.001465,0.968262
    3230,0.059326,-0.000732,0.961182
    3240,0.059326,0.000977,0.970459
    3250,0.064941,0.002930,0.973877
    3260,0.064453,0.010010,0.964111
    3270,0.061523,-0.004883,0.968262
    3280,0.067871,-0.004150,0.960449
    3290,0.060059,0.000244,0.960205
    3300,0.060791,0.003906,0.969971
    3310,0.061279,-0.002197,0.967529
    3320,0.065186,0.001953,0.964600
    3330,0.058594,0.000244,0.954834
    3340,0.063965,0.000488,0.968994
    3350,0.062988,0.005127,0.963135
    3360,0.065430,0.001465,0.959717
    3370,0.058350,0.000732,0.969482
    3380,0.061035,-0.002686,0.961426
    3390,0.063232,0.007568,0.961182
    3400,0.062988,0.005127,0.971436
    3410,0.055176,0.002197,0.969971
    3420,0.060059,-0.000732,0.967773
    3430,0.061279,0.004883,0.967285
    3440,0.061768,-0.003906,0.965332
    3450,0.061523,-0.004150,0.963135
    3460,0.059814,0.004150,0.971680
    3470,0.059326,0.003174,0.960449
    3480,0.060303,-0.000488,0.968506
    3490,0.058838,0.000977,0.972412
    3500,0.058594,-0.001221,0.960693
    3510,0.067383,0.001221,0.957764
    3520,0.057861,-0.001465,0.961670
    3530,0.064209,0.001465,0.962646
    3540,0.059082,-0.003418,0.968750
    3550,0.068115,-0.000732,0.965576
    3560,0.064941,0.000244,0.963867
    3570,0.063965,0.002441,0.963867
    3580,0.058838,0.006104,0.967529
    3590,0.059570,0.001221,0.966309
    3600,0.058838,-0.002930,0.965332
    3610,0.067871,0.000488,0.968018
    3620,0.062744,-0.002441,0.969238
    3630,0.056885,-0.004639,0.969482
    3640,0.059326,0.003906,0.957764
    3650,0.061523,0.000977,0.972168
    3660,0.060303,-0.001221,0.970215
    3670,0.057861,-0.002197,0.968262
    3680,0.057373,-0.002441,0.974365
    3690,0.064453,0.000732,0.956787
    3700,0.050293,0.000244,0.965820
    3710,0.059814,0.006348,0.973877
    3720,0.059814,-0.002197,0.958740
    3730,0.059814,0.001465,0.966309
    3740,0.062012,0.006592,0.967529
    3750,0.061523,0.004150,0.967041
    3760,0.061035,0.001465,0.967529
    3770,0.057373,-0.001465,0.966064
    3780,0.063965,0.001953,0.958496
    3790,0.058838,-0.002930,0.969238
    3800,0.059570,-0.003418,0.966797
    3810,0.060547,0.001221,0.968262
    3820,0.059570,-0.000488,0.961670
    3830,0.059570,0.005127,0.969238
    3840,0.061523,-0.001221,0.961182
    3850,0.057373,0.006836,0.971436
    3860,0.060059,-0.001953,0.967285
    3870,0.061523,-0.002441,0.968750
    3880,0.061035,0.001221,0.972168
    3890,0.068359,0.001221,0.963623
    3900,0.061279,0.000000,0.966553
    3910,0.059082,0.001953,0.967041
    3920,0.063477,0.002197,0.971924
    3930,0.059570,0.005127,0.966553
    3940,0.058350,-0.002930,0.955566
    3950,0.057373,-0.000488,0.963867
    3960,0.063232,-0.001465,0.964600
    3970,0.063477,0.000732,0.968994
    3980,0.061768,-0.001465,0.972168
    3990,0.065674,-0.002686,0.965820
    4000,0.058594,-0.001709,0.968994
    4010,0.064453,-0.007812,0.964111
    4020,0.062744,-0.004150,0.962158
    4030,0.058838,0.001221,0.970703
    4040,0.060791,-0.006104,0.962891
    4050,0.060303,0.001465,0.970703
    4060,0.063721,-0.001953,0.968750
    4070,0.063965,-0.000977,0.960938
    4080,0.057861,0.003174,0.964844
    4090,0.060547,-0.001221,0.967529
    4100,0.064697,0.004639,0.961426
    4110,0.055176,-0.001709,0.964600
    4120,0.059082,0.005859,0.967285
    4130,0.066895,0.006104,0.972412
    4140,0.061279,0.002197,0.967285
    4150,0.065918,-0.002930,0.969971
    4160,0.065430,-0.002441,0.969727
    4170,0.065674,0.003662,0.971191
    4180,0.057129,-0.000977,0.975098
    4190,0.060303,0.001465,0.967285
    4200,0.061035,-0.004150,0.967773
    4210,0.058350,-0.010498,0.963379
    4220,0.054443,-0.001465,0.969727
    4230,0.057373,0.000244,0.969971
    4240,0.057617,-0.002686,0.965088
    4250,0.057861,-0.002197,0.965332
    4260,0.053955,-0.007568,0.962891
    4270,0.062256,-0.004150,0.965820
    4280,0.061768,0.001221,0.966553
    4290,0.061768,0.002686,0.966309
    4300,0.062988,0.000244,0.965820
    4310,0.059326,-0.003174,0.964111
    4320,0.062500,0.000977,0.961426
    4330,0.059326,0.002686,0.964111
    4340,0.062012,0.001709,0.966797
    4350,0.060303,0.000000,0.973877
    4360,0.063477,-0.002441,0.970459
    4370,0.066162,-0.005859,0.964355
    4380,0.060547,0.000000,0.967773
    4390,0.060059,-0.001465,0.963135
    4400,0.062744,0.009277,0.971924
    4410,0.062744,-0.001953,0.963623
    4420,0.062988,0.002686,0.959717
    4430,0.055664,0.001221,0.968994
    4440,0.064941,0.000977,0.972412
    4450,0.062988,0.002441,0.968018
    4460,0.062500,0.004883,0.974121
    4470,0.061768,-0.000244,0.966309
    4480,0.058594,0.002930,0.968750
    4490,0.054688,-0.000488,0.969971
    4500,0.063721,-0.001465,0.958984
    4510,0.056152,0.002930,0.962891
    4520,0.062256,0.000244,0.968994
    4530,0.057129,0.005127,0.966553
    4540,0.062012,0.003174,0.965576
    4550,0.058594,-0.005615,0.956543
    4560,0.061523,-0.001465,0.970215
    4570,0.064941,0.004395,0.971436
    4580,0.061035,0.002441,0.969971
    4590,0.062012,-0.000488,0.966797
    4600,0.057129,-0.001465,0.964600
    4610,0.059326,-0.004639,0.969727
    4620,0.052002,0.001465,0.969482
    4630,0.059814,-0.000488,0.968018
    4640,0.056885,-0.002441,0.966553
    4650,0.059814,0.000244,0.972656
    4660,0.060059,0.008301,0.964600
    4670,0.057861,0.000488,0.962158
    4680,0.066162,0.000000,0.965820
    4690,0.064453,0.005127,0.967285
    4700,0.057129,0.005127,0.965088
    4710,0.062500,-0.003418,0.966553
    4720,0.061523,0.007324,0.968262
    4730,0.057617,-0.002441,0.966797
    4740,0.055176,0.001709,0.972168
    4750,0.059814,0.011475,0.975342
    4760,0.063477,0.006592,0.958740
    4770,0.061035,-0.006592,0.969971
    4780,0.057617,-0.004395,0.973145
    4790,0.055176,-0.001709,0.965576
    4800,0.061035,0.002686,0.959473
    4810,0.057617,0.003662,0.971436
    4820,0.061523,0.002197,0.965332
    4830,0.060303,-0.001465,0.964355
    4840,0.061523,0.002930,0.968018
    4850,0.061035,0.001221,0.962402
    4860,0.055420,-0.005859,0.970703
    4870,0.063477,-0.003174,0.967529
    4880,0.061279,-0.001221,0.962402
    4890,0.058105,-0.001465,0.961914
    4900,0.061768,-0.004883,0.967773
