=============== Sampling Metadata ===============
Node ID: 1
Start Time: 2025-07-02 17:06:30.000
Sampling Rate: 100 Hz
Duration: 30 s
================= Sampling Data =================
time_ms,ax,ay,az
      30,-0.003906,-0.009766,1.133789
      32,-0.000977,-0.004883,1.127441
      33,0.000732,-0.006348,1.130371
      40,-0.004883,-0.007812,1.127441
      50,0.002441,-0.011475,1.132080
      60,0.002686,-0.012207,1.137207
      70,-0.000977,-0.011230,1.128662
      80,0.007812,-0.003662,1.134277
      90,0.002930,-0.007812,1.134277
     100,0.007568,-0.011230,1.125732
     110,-0.000244,-0.004639,1.134033
     120,-0.000732,-0.011475,1.132568
     130,0.004395,-0.008545,1.131104
     140,0.004395,-0.011230,1.131348
     150,0.004639,-0.008301,1.129150
     160,0.001953,-0.012451,1.130371
     170,0.000000,-0.009277,1.131592
     180,0.009277,-0.007080,1.132324
     190,0.001221,-0.007080,1.127441
     200,0.004883,-0.006104,1.126221
     210,0.000977,-0.009521,1.136475
     220,0.000000,-0.009521,1.129395
     230,0.002197,-0.010986,1.125977
     240,-0.001221,-0.007812,1.126709
     250,0.006836,-0.008545,1.129395
     260,-0.000488,-0.014893,1.126709
     270,0.001953,-0.011963,1.128418
     280,0.004883,-0.010742,1.129639
     290,0.001709,-0.010010,1.128906
     300,0.005127,-0.010498,1.128418
     310,0.006836,-0.010010,1.137695
     320,0.000244,-0.008301,1.129883
     330,0.003906,-0.013184,1.135742
     340,-0.000244,-0.008057,1.134766
     350,-0.004150,-0.011230,1.127441
     360,0.001465,-0.012451,1.127930
     370,-0.002441,-0.009521,1.131836
     380,0.004639,-0.011230,1.128906
     390,0.000488,-0.008789,1.139160
     400,0.003662,-0.008057,1.136475
     410,0.005615,-0.014648,1.123779
     420,0.001221,-0.007324,1.127197
     430,-0.001709,-0.008057,1.130615
     440,0.001465,-0.012939,1.127197
     450,0.004150,-0.007080,1.126709
     460,0.002686,-0.003662,1.124756
     470,0.006592,-0.011230,1.135498
     480,0.002441,-0.010986,1.126953
     490,0.000977,-0.006348,1.128662
     500,-0.000977,-0.009033,1.130127
     510,-0.001221,-0.011475,1.119629
     520,0.001953,-0.006592,1.135254
     530,0.002686,-0.006592,1.134521
     540,0.004883,-0.006592,1.128662
     550,0.002930,-0.006592,1.128662
     560,0.008545,-0.010742,1.133789
     570,-0.001953,-0.007568,1.126709
     580,0.001465,-0.010742,1.123291
     590,0.000244,-0.001221,1.132812
     600,-0.000244,-0.007568,1.129395
     610,0.002686,-0.004883,1.131104
     620,0.000488,-0.005859,1.135254
     630,-0.000732,-0.007080,1.132812
     640,-0.004883,-0.011230,1.121338
     650,0.001953,-0.008301,1.131348
     660,0.000977,-0.005371,1.138916
     670,-0.006348,-0.011719,1.134033
     680,0.003174,-0.007568,1.139893
     690,0.005859,-0.009033,1.128174
     700,0.000977,-0.005859,1.137451
     710,-0.001221,-0.013428,1.133057
     720,-0.002930,-0.012207,1.126953
     730,0.004395,-0.009277,1.130127
     740,0.002441,-0.007812,1.128418
     750,0.003662,-0.009033,1.120117
     760,0.002197,-0.015869,1.127441
