=============== Sampling Metadata ===============
Node ID: 2
Start Time: 2025-07-02 17:02:30.000
Sampling Rate: 100 Hz
Duration: 30 s
================= Sampling Data =================
time_ms,ax,ay,az
      30,0.050781,-0.021240,0.979248
      32,0.049561,-0.016846,0.979736
      33,0.049561,-0.019775,0.981934
      40,0.053955,-0.017578,0.987793
      50,0.051270,-0.016846,0.985352
      60,0.053223,-0.020508,0.980713
      70,0.052002,-0.024658,0.980713
      80,0.053223,-0.023193,0.985596
      90,0.050049,-0.017578,0.984131
     100,0.049316,-0.014160,0.977783
     110,0.050049,-0.016113,0.979248
     120,0.052734,-0.015869,0.985840
     130,0.054688,-0.019043,0.988525
     140,0.050781,-0.016113,0.985107
     150,0.055664,-0.014160,0.981934
     160,0.053711,-0.016846,0.977783
     170,0.048584,-0.021973,0.986816
     180,0.048340,-0.021973,0.976074
     190,0.048096,-0.024170,0.977539
     200,0.047607,-0.015137,0.974121
     210,0.055664,-0.020996,0.978516
     220,0.049561,-0.017334,0.974854
     230,0.057129,-0.013428,0.977539
     240,0.053711,-0.020752,0.980713
     250,0.044678,-0.018311,0.979980
     260,0.054932,-0.018555,0.984619
     270,0.052490,-0.016113,0.987061
     280,0.055664,-0.020264,0.985596
     290,0.049072,-0.016846,0.979492
     300,0.051025,-0.015137,0.984863
     310,0.052490,-0.019531,0.972900
     320,0.051758,-0.022705,0.976074
     330,0.049072,-0.022461,0.985840
     340,0.050781,-0.021729,0.979980
     350,0.055420,-0.012207,0.972412
     360,0.051758,-0.017822,0.983398
     370,0.052490,-0.016602,0.985107
     380,0.046387,-0.021484,0.982910
     390,0.046631,-0.019043,0.976807
     400,0.054932,-0.018555,0.974365
     410,0.047852,-0.019043,0.973389
     420,0.052490,-0.023193,0.984863
     430,0.051270,-0.016357,0.985840
     440,0.049316,-0.011475,0.989502
     450,0.046875,-0.018066,0.982422
     460,0.056641,-0.020020,0.980469
     470,0.052490,-0.021973,0.981934
     480,0.051270,-0.015869,0.977783
     490,0.050293,-0.019043,0.977539
     500,0.049072,-0.021240,0.979736
     510,0.050049,-0.022705,0.980713
     520,0.046631,-0.021240,0.984131
     530,0.051514,-0.016113,0.988037
     540,0.050537,-0.018066,0.983643
     550,0.052002,-0.019043,0.992188
     560,0.055664,-0.019531,0.976807
     570,0.052979,-0.019531,0.987793
     580,0.050537,-0.014893,0.985596
     590,0.055420,-0.015869,0.983643
     600,0.047119,-0.018799,0.984619
     610,0.051758,-0.022461,0.982422
     620,0.049316,-0.020264,0.986816
     630,0.046143,-0.017578,0.978027
     640,0.047119,-0.019775,0.984375
     650,0.049805,-0.013672,0.984131
     660,0.047119,-0.022461,0.973877
     670,0.052734,-0.020264,0.983398
     680,0.051514,-0.022461,0.981201
     690,0.057129,-0.018066,0.979736
     700,0.055664,-0.022705,0.980957
     710,0.054932,-0.016113,0.984375
     720,0.052979,-0.015625,0.981445
     730,0.050537,-0.021240,0.984619
     740,0.046875,-0.015381,0.988281
     750,0.050293,-0.021240,0.980957
     760,0.051270,-0.021240,0.992432
     770,0.048340,-0.018066,0.983398
     780,0.046143,-0.020508,0.981689
     790,0.047607,-0.020996,0.972656
     800,0.049072,-0.019531,0.981934
     810,0.057373,-0.017822,0.994141
     820,0.050781,-0.018311,0.984863
     830,0.047363,-0.016357,0.976074
     840,0.045898,-0.016846,0.982666
     850,0.051270,-0.018066,0.980957
     860,0.050537,-0.018311,0.973389
     870,0.054688,-0.015137,0.974609
     880,0.054443,-0.014404,0.979492
     890,0.053711,-0.025635,0.983643
     900,0.050781,-0.015869,0.987061
     910,0.053711,-0.018311,0.977539
     920,0.048096,-0.015625,0.987305
     930,0.054932,-0.026611,0.986084
     940,0.057373,-0.019775,0.983398
     950,0.051270,-0.014160,0.980225
     960,0.056396,-0.017578,0.981934
     970,0.056152,-0.013916,0.981445
     980,0.052246,-0.022217,0.979004
     990,0.054199,-0.025635,0.977783
    1000,0.055420,-0.016113,0.973877
    1010,0.049561,-0.020264,0.984131
    1020,0.050781,-0.017090,0.980957
    1030,0.052734,-0.018799,0.976562
    1040,0.050781,-0.020996,0.981934
    1050,0.053467,-0.015381,0.981201
    1060,0.043701,-0.019775,0.987061
    1070,0.050049,-0.019043,0.982422
    1080,0.051025,-0.012939,0.979492
    1090,0.052490,-0.017578,0.991211
    1100,0.052734,-0.018066,0.978516
    1110,0.049805,-0.015137,0.977783
    1120,0.047119,-0.016357,0.985840
    1130,0.048584,-0.015381,0.976562
    1140,0.049805,-0.017334,0.990234
    1150,0.052979,-0.013916,0.980957
    1160,0.052734,-0.022705,0.983643
    1170,0.048584,-0.019287,0.983643
    1180,0.052490,-0.015625,0.985107
    1190,0.053223,-0.022461,0.985840
    1200,0.047607,-0.023438,0.977295
    1210,0.041992,-0.021484,0.990967
    1220,0.047607,-0.013184,0.978760
    1230,0.054688,-0.021484,0.983398
    1240,0.052246,-0.021973,0.980225
    1250,0.053711,-0.017578,0.984375
    1260,0.052490,-0.022461,0.977051
    1270,0.048584,-0.020508,0.978516
    1280,0.051270,-0.024414,0.984131
    1290,0.051514,-0.016357,0.979004
    1300,0.055420,-0.019531,0.981689
    1310,0.057129,-0.014160,0.984131
    1320,0.058838,-0.019531,0.982910
    1330,0.046631,-0.019775,0.980957
    1340,0.050049,-0.011475,0.980713
    1350,0.051514,-0.015625,0.975586
    1360,0.051514,-0.014893,0.979248
    1370,0.052490,-0.017090,0.984131
    1380,0.052490,-0.017822,0.977295
    1390,0.043213,-0.024902,0.986328
    1400,0.055908,-0.014648,0.982666
    1410,0.052979,-0.020752,0.976318
    1420,0.055908,-0.019287,0.980225
    1430,0.049072,-0.019531,0.982910
    1440,0.051514,-0.024902,0.983887
    1450,0.046143,-0.021240,0.978271
    1460,0.050049,-0.023438,0.974365
    1470,0.050537,-0.019531,0.980713
    1480,0.048096,-0.020752,0.982910
    1490,0.050293,-0.019775,0.981934
    1500,0.048340,-0.017578,0.987061
    1510,0.048340,-0.019287,0.981689
    1520,0.055664,-0.023193,0.980469
    1530,0.051758,-0.017334,0.982666
    1540,0.059814,-0.019531,0.985352
    1550,0.050781,-0.019043,0.982666
    1560,0.049072,-0.021484,0.977295
    1570,0.054932,-0.017822,0.978516
    1580,0.054688,-0.015625,0.993164
    1590,0.048828,-0.021240,0.988281
    1600,0.049316,-0.020508,0.990479
    1610,0.052979,-0.016602,0.976562
    1620,0.045410,-0.015137,0.978027
    1630,0.050781,-0.023926,0.983154
    1640,0.054199,-0.017578,0.979736
    1650,0.046631,-0.026855,0.983154
    1660,0.051025,-0.016846,0.981934
    1670,0.049072,-0.014893,0.974609
    1680,0.043701,-0.016113,0.981689
    1690,0.055420,-0.019775,0.982422
    1700,0.053955,-0.019531,0.983887
    1710,0.051758,-0.022949,0.982910
    1720,0.052490,-0.021484,0.976318
    1730,0.044922,-0.020752,0.985840
    1740,0.050049,-0.022461,0.988281
    1750,0.049805,-0.017822,0.982910
    1760,0.056152,-0.017334,0.978271
    1770,0.046143,-0.020264,0.979736
    1780,0.050537,-0.021240,0.979736
    1790,0.060547,-0.020752,0.977295
    1800,0.050049,-0.023682,0.985840
    1810,0.044189,-0.020508,0.976807
    1820,0.053467,-0.022217,0.969971
    1830,0.047852,-0.022461,0.975342
    1840,0.046387,-0.019775,0.986084
    1850,0.049316,-0.018066,0.979248
    1860,0.046875,-0.022217,0.985352
    1870,0.050293,-0.022949,0.982666
    1880,0.060059,-0.010742,0.980225
    1890,0.053223,-0.016113,0.982178
    1900,0.054688,-0.020264,0.982910
    1910,0.051514,-0.021729,0.983887
    1920,0.052246,-0.015381,0.981445
    1930,0.047607,-0.014160,0.977783
    1940,0.057129,-0.020264,0.980225
    1950,0.047363,-0.016846,0.981934
    1960,0.052734,-0.027344,0.984863
    1970,0.051025,-0.024902,0.985596
    1980,0.047363,-0.019287,0.983643
    1990,0.054932,-0.019775,0.984863
    2000,0.050781,-0.019043,0.984863
    2010,0.049072,-0.017090,0.981934
    2020,0.055420,-0.018066,0.985107
    2030,0.049316,-0.021240,0.985840
    2040,0.048584,-0.017334,0.973877
    2050,0.052002,-0.019287,0.973877
    2060,0.051514,-0.019043,0.973877
    2070,0.048584,-0.017334,0.979980
    2080,0.050781,-0.012207,0.985840
    2090,0.051514,-0.020264,0.988770
    2100,0.051270,-0.017578,0.975830
    2110,0.046875,-0.019043,0.982666
    2120,0.051025,-0.018555,0.985107
    2130,0.052734,-0.018311,0.985107
    2140,0.057861,-0.018799,0.979736
    2150,0.051758,-0.019043,0.974365
    2160,0.048828,-0.017578,0.986816
    2170,0.050781,-0.023193,0.984619
    2180,0.049805,-0.014648,0.981689
    2190,0.045410,-0.021729,0.984863
    2200,0.050537,-0.014893,0.972900
    2210,0.049072,-0.014648,0.982422
    2220,0.052002,-0.019287,0.980225
    2230,0.049805,-0.013428,0.990479
    2240,0.048828,-0.015381,0.982666
    2250,0.053223,-0.020752,0.988037
    2260,0.048340,-0.015137,0.990967
    2270,0.052002,-0.019043,0.982910
    2280,0.049805,-0.018799,0.976807
    2290,0.051025,-0.017578,0.982422
    2300,0.053711,-0.020508,0.991211
    2310,0.051025,-0.018799,0.984375
    2320,0.052246,-0.018066,0.982422
    2330,0.060059,-0.020264,0.988770
    2340,0.052734,-0.017578,0.985107
    2350,0.055664,-0.020264,0.986816
    2360,0.051758,-0.020264,0.978027
    2370,0.047607,-0.022217,0.981689
    2380,0.057129,-0.014404,0.987061
    2390,0.053467,-0.010010,0.989746
    2400,0.049561,-0.022461,0.981201
    2410,0.055420,-0.013672,0.978271
    2420,0.052002,-0.019531,0.980469
    2430,0.046387,-0.021729,0.974121
    2440,0.051270,-0.019775,0.984619
    2450,0.045410,-0.020996,0.979004
    2460,0.056641,-0.017578,0.984375
    2470,0.051758,-0.020020,0.971680
    2480,0.051758,-0.019531,0.977295
    2490,0.050537,-0.016846,0.984619
    2500,0.046631,-0.021240,0.987305
    2510,0.047119,-0.024170,0.984375
    2520,0.054688,-0.020752,0.983154
    2530,0.051025,-0.013916,0.980469
    2540,0.058350,-0.015381,0.990723
    2550,0.047852,-0.020508,0.986572
    2560,0.050781,-0.024658,0.984863
    2570,0.051514,-0.016357,0.978027
    2580,0.055420,-0.019531,0.979004
    2590,0.049072,-0.017822,0.989746
    2600,0.053223,-0.013916,0.985840
    2610,0.053223,-0.023193,0.982422
    2620,0.054932,-0.014404,0.982178
    2630,0.049561,-0.016602,0.976562
    2640,0.053223,-0.015625,0.976562
    2650,0.050049,-0.015381,0.984375
    2660,0.050293,-0.022949,0.981689
    2670,0.045898,-0.013672,0.980469
    2680,0.050537,-0.018311,0.982178
    2690,0.053711,-0.017334,0.977051
    2700,0.048584,-0.014648,0.988037
    2710,0.048096,-0.020996,0.980225
    2720,0.049072,-0.018555,0.979248
    2730,0.045898,-0.025879,0.976807
    2740,0.048584,-0.011230,0.975342
    2750,0.054199,-0.016113,0.984619
    2760,0.047607,-0.021240,0.978516
    2770,0.047607,-0.016602,0.977783
    2780,0.049561,-0.020264,0.974609
    2790,0.052002,-0.019531,0.985596
    2800,0.052002,-0.020752,0.978027
    2810,0.050049,-0.023926,0.981201
    2820,0.056885,-0.016357,0.988037
    2830,0.053467,-0.019287,0.982666
    2840,0.052979,-0.015381,0.979492
    2850,0.051025,-0.023926,0.985596
    2860,0.050781,-0.022461,0.977783
    2870,0.046387,-0.022217,0.979736
    2880,0.049072,-0.019531,0.987549
    2890,0.049316,-0.017822,0.982422
    2900,0.048584,-0.017334,0.988037
    2910,0.051758,-0.021729,0.981201
    2920,0.046387,-0.015869,0.992188
    2930,0.046143,-0.013428,0.987793
    2940,0.053467,-0.020020,0.981934
    2950,0.052490,-0.021240,0.980225
    2960,0.046143,-0.015381,0.982422
    2970,0.054932,-0.024902,0.978760
    2980,0.053711,-0.023438,0.984619
    2990,0.055176,-0.018799,0.982422
    3000,0.042236,-0.015137,0.979736
    3010,0.048584,-0.020264,0.990723
    3020,0.046143,-0.022705,0.980469
    3030,0.052979,-0.015137,0.986084
    3040,0.050293,-0.016602,0.986084
    3050,0.052490,-0.017334,0.979248
    3060,0.056641,-0.013184,0.980469
    3070,0.045654,-0.024658,0.980713
    3080,0.048340,-0.023193,0.983154
    3090,0.054932,-0.021729,0.983398
