=============== Sampling Metadata ===============
Node ID: 3
Start Time: 2025-07-02 17:02:30.000
Sampling Rate: 100 Hz
Duration: 30 s
================= Sampling Data =================
time_ms,ax,ay,az
      34,0.042725,-0.047852,0.930664
      36,0.038818,-0.050049,0.929443
      37,0.042969,-0.051514,0.925781
      40,0.042236,-0.047363,0.931641
      50,0.040283,-0.042969,0.926514
      60,0.045166,-0.043213,0.937500
      70,0.038086,-0.054688,0.930908
      80,0.043457,-0.049072,0.933838
      90,0.043701,-0.045166,0.934814
     100,0.039307,-0.045410,0.930420
     110,0.037109,-0.048828,0.930664
     120,0.036377,-0.047119,0.928711
     130,0.039795,-0.050049,0.928467
     140,0.037842,-0.051025,0.929688
     150,0.041748,-0.043457,0.922607
     160,0.038086,-0.055420,0.927979
     170,0.041260,-0.054443,0.934570
     180,0.040039,-0.045166,0.929199
     190,0.041260,-0.048828,0.934082
     200,0.040039,-0.048096,0.927734
     210,0.035400,-0.052734,0.931396
     220,0.043457,-0.047363,0.934570
     230,0.042480,-0.049316,0.921143
     240,0.039307,-0.048096,0.927490
     250,0.036133,-0.043457,0.932129
     260,0.044189,-0.049072,0.923828
     270,0.046631,-0.044434,0.933594
     280,0.040283,-0.050049,0.923096
     290,0.033936,-0.047363,0.934326
     300,0.042236,-0.044434,0.929932
     310,0.038086,-0.045166,0.930420
     320,0.033203,-0.047852,0.929443
     330,0.041016,-0.042969,0.934814
     340,0.037842,-0.043701,0.923340
     350,0.044434,-0.048096,0.927979
     360,0.037842,-0.051270,0.928955
     370,0.040771,-0.046631,0.926758
     380,0.036377,-0.048584,0.929199
     390,0.038818,-0.047363,0.945068
     400,0.043213,-0.044922,0.933594
     410,0.041016,-0.047119,0.931152
     420,0.039307,-0.048340,0.927002
     430,0.043945,-0.051025,0.931396
     440,0.036865,-0.048340,0.918457
     450,0.036865,-0.048828,0.938232
     460,0.036865,-0.054443,0.933105
     470,0.041748,-0.042969,0.928223
     480,0.039795,-0.050049,0.924561
     490,0.048340,-0.046143,0.927002
     500,0.036133,-0.049561,0.922607
     510,0.034424,-0.049072,0.928711
     520,0.037109,-0.040039,0.928955
     530,0.041504,-0.050537,0.927002
     540,0.036377,-0.040039,0.929199
     550,0.039307,-0.052734,0.929932
     560,0.043701,-0.044922,0.931885
     570,0.036621,-0.048828,0.929932
     580,0.040283,-0.052490,0.937500
     590,0.044189,-0.049072,0.921143
     600,0.041016,-0.046631,0.920898
     610,0.037354,-0.047119,0.926270
     620,0.039551,-0.047607,0.927979
     630,0.040283,-0.042725,0.937744
     640,0.041260,-0.058350,0.923340
     650,0.038086,-0.054443,0.922119
     660,0.038818,-0.049316,0.936768
     670,0.037598,-0.051025,0.927246
     680,0.035645,-0.047852,0.929199
     690,0.036865,-0.045410,0.929199
     700,0.042725,-0.049805,0.933838
     710,0.042969,-0.050537,0.931885
     720,0.037354,-0.045654,0.925049
     730,0.043457,-0.049561,0.930664
     740,0.041260,-0.047852,0.929443
     750,0.049072,-0.048584,0.928711
     760,0.039551,-0.041992,0.926270
     770,0.036621,-0.048096,0.927002
     780,0.036865,-0.044678,0.932617
     790,0.040283,-0.045410,0.933350
     800,0.044189,-0.040527,0.931885
